doc_id,gold_label,llm_verdict,llm_pred,llm_confidence,llm_score,llm_cwe_raw,logreg_proba,logreg_pred,union_pred,union_source,intersection_pred
78906,0,secure,0,1.0,0.0,,0.3084532991930411,0,0,neither,0
120384,0,secure,0,1.0,0.0,,0.019203437272109606,0,0,neither,0
88590,0,secure,0,1.0,0.0,,0.528881578993111,1,1,logreg_only,0
49163,0,secure,0,1.0,0.0,,0.06066333148094989,0,0,neither,0
108048,0,secure,0,1.0,0.0,,0.055101463193647275,0,0,neither,0
106855,0,secure,0,1.0,0.0,,0.03212201095646787,0,0,neither,0
86085,0,secure,0,1.0,0.0,,0.4932079794175653,0,0,neither,0
179721,1,secure,0,1.0,0.0,,0.23881716059406238,0,0,neither,0
4540,0,secure,0,1.0,0.0,,0.02752414940072838,0,0,neither,0
171593,0,secure,0,1.0,0.0,,0.2931718274156895,0,0,neither,0
26773,0,secure,0,1.0,0.0,,0.1071819410424119,0,0,neither,0
21365,0,secure,0,1.0,0.0,,0.08971631750953599,0,0,neither,0
172075,0,secure,0,1.0,0.0,,0.2358391899435767,0,0,neither,0
187288,1,secure,0,1.0,0.0,,0.33436232312318326,0,0,neither,0
181024,1,secure,0,1.0,0.0,,0.958068285646618,1,1,logreg_only,0
126551,0,secure,0,1.0,0.0,,0.2394798294697779,0,0,neither,0
32484,0,secure,0,1.0,0.0,,0.06008433508475215,0,0,neither,0
19967,0,secure,0,1.0,0.0,,0.05399588217302316,0,0,neither,0
187034,1,secure,0,1.0,0.0,,0.37184139220462575,0,0,neither,0
178828,1,secure,0,1.0,0.0,,0.4811166984221713,0,0,neither,0
181777,1,secure,0,1.0,0.0,,0.7618838922568805,1,1,logreg_only,0
182416,1,vulnerable,1,0.9,0.9,CWE-119,0.8081584220520086,1,1,both,1
154666,0,secure,0,1.0,0.0,,0.027695245816617402,0,0,neither,0
183206,1,secure,0,1.0,0.0,,0.9000433194341235,1,1,logreg_only,0
183419,1,secure,0,1.0,0.0,,0.5622616733832424,1,1,logreg_only,0
71857,1,secure,0,1.0,0.0,,0.19820508355200933,0,0,neither,0
125798,0,secure,0,1.0,0.0,,0.14450498650978136,0,0,neither,0
134604,0,secure,0,1.0,0.0,,0.010839101105990187,0,0,neither,0
136922,0,secure,0,1.0,0.0,,0.053330724621686205,0,0,neither,0
